label,n_studies,n_both_commit,n_agree,agree_rate,n_left_only,n_right_only
ACL,4349,371,263,0.7088948787061995,0,3978
MCL,4349,204,78,0.38235294117647056,0,4145
Medial Meniscus,4349,2613,2335,0.8936088786835056,216,1120
Lateral Meniscus,4349,2954,2435,0.8243060257278266,289,940
Medial OA,4349,2336,1891,0.8095034246575342,0,2013
Lateral OA,4349,133,65,0.48872180451127817,0,4216
PF OA,4349,2211,1801,0.8145635459068294,0,2138
Effusion,4349,3585,2416,0.6739191073919107,0,764
Synovitis,4349,539,483,0.8961038961038961,1050,593
Baker's,4349,2457,1881,0.7655677655677655,0,1892
Contusion,4349,1562,1363,0.8725992317541613,238,2259
Fracture,4349,1979,1923,0.9717028802425467,93,2233
