label,n_studies,n_both_commit,n_agree,agree_rate,n_left_only,n_right_only
ACL,4407,324,270,0.8333333333333334,105,3355
MCL,4407,72,63,0.875,190,3621
Medial Meniscus,4407,2463,2237,0.9082419813235891,424,929
Lateral Meniscus,4407,2833,2385,0.8418637486763149,468,879
Medial OA,4407,1709,1583,0.9262726740784084,685,1624
Lateral OA,4407,95,81,0.8526315789473684,96,3472
PF OA,4407,1593,1450,0.9102322661644695,676,1576
Effusion,4407,1637,1595,0.9743433109346366,2006,471
Synovitis,4407,1220,1033,0.8467213114754099,427,2646
Baker's,4407,2011,1907,0.9482844356041771,504,1833
Contusion,4407,1454,1335,0.9181568088033012,404,1978
Fracture,4407,2083,2015,0.9673547767642823,47,2244
