source,label,n,expert_pos,pred_pos,auc,prec,rec,gate_pass
pilk,ACL,57,23,32,0.9974424552429668,0.71875,1.0,True
pilk,MCL,57,9,18,0.9756944444444444,0.5,1.0,True
pilk,Medial Meniscus,57,26,32,0.9429280397022334,0.78125,0.9615384615384616,True
pilk,Lateral Meniscus,57,23,30,0.8414322250639387,0.6666666666666666,0.8695652173913043,True
pilk,Medial OA,57,15,22,0.9079365079365079,0.6363636363636364,0.9333333333333333,True
pilk,Lateral OA,57,11,16,0.7885375494071147,0.5625,0.8181818181818182,True
pilk,PF OA,57,20,24,0.8912162162162163,0.6666666666666666,0.8,True
pilk,Effusion,57,34,50,0.829923273657289,0.68,1.0,True
pilk,Synovitis,57,27,16,0.6938271604938271,0.8125,0.48148148148148145,True
pilk,Baker's,57,12,16,0.9324074074074074,0.6875,0.9166666666666666,True
pilk,Contusion,57,18,36,0.7678062678062678,0.4444444444444444,0.8888888888888888,False
pilk,Fracture,57,17,19,0.8713235294117647,0.6842105263157895,0.7647058823529411,True
kw_v1,ACL,57,23,13,0.6975703324808185,0.8461538461538461,0.4782608695652174,True
kw_v1,MCL,57,9,8,0.7465277777777778,0.625,0.5555555555555556,True
kw_v1,Medial Meniscus,57,26,13,0.6401985111662531,0.6923076923076923,0.34615384615384615,True
kw_v1,Lateral Meniscus,57,23,10,0.6956521739130433,0.9,0.391304347826087,True
kw_v1,Medial OA,57,15,3,0.5547619047619047,0.6666666666666666,0.13333333333333333,True
kw_v1,Lateral OA,57,11,4,0.625494071146245,0.75,0.2727272727272727,True
kw_v1,PF OA,57,20,4,0.48445945945945945,0.25,0.05,False
kw_v1,Effusion,57,34,29,0.6131713554987213,0.6551724137931034,0.5588235294117647,True
kw_v1,Synovitis,57,27,12,0.6166666666666667,0.75,0.3333333333333333,True
kw_v1,Baker's,57,12,6,0.6888888888888889,0.6666666666666666,0.3333333333333333,True
kw_v1,Contusion,57,18,14,0.5968660968660968,0.5,0.3888888888888889,True
kw_v1,Fracture,57,17,3,0.5720588235294117,1.0,0.17647058823529413,True
kw_v7,ACL,57,23,21,0.7570332480818414,0.7619047619047619,0.6956521739130435,True
kw_v7,MCL,57,9,15,0.8449074074074074,0.5333333333333333,0.8888888888888888,True
kw_v7,Medial Meniscus,57,26,20,0.7152605459057072,0.75,0.5769230769230769,True
kw_v7,Lateral Meniscus,57,23,15,0.6643222506393862,0.7333333333333333,0.4782608695652174,True
kw_v7,Medial OA,57,15,8,0.573015873015873,0.5,0.26666666666666666,True
kw_v7,Lateral OA,57,11,6,0.5108695652173912,0.16666666666666666,0.09090909090909091,False
kw_v7,PF OA,57,20,4,0.4972972972972972,0.25,0.05,False
kw_v7,Effusion,57,34,39,0.6854219948849105,0.6923076923076923,0.7941176470588235,True
kw_v7,Synovitis,57,27,11,0.5814814814814815,0.7272727272727273,0.2962962962962963,True
kw_v7,Baker's,57,12,8,0.7648148148148148,0.75,0.5,True
kw_v7,Contusion,57,18,19,0.6061253561253561,0.47368421052631576,0.5,False
kw_v7,Fracture,57,17,6,0.611764705882353,0.8333333333333334,0.29411764705882354,True
