label,n_studies,n_both_commit,n_agree,agree_rate,n_left_only,n_right_only
ACL,4407,129,124,0.9612403100775194,879,2023
MCL,4407,143,123,0.8601398601398601,443,2375
Medial Meniscus,4407,403,370,0.9181141439205955,1015,1639
Lateral Meniscus,4407,572,448,0.7832167832167832,590,2200
Medial OA,4407,346,290,0.838150289017341,505,1811
Lateral OA,4407,352,278,0.7897727272727273,445,2051
PF OA,4407,63,50,0.7936507936507936,311,1884
Effusion,4407,689,595,0.8635703918722787,2159,925
Synovitis,4407,29,28,0.9655172413793104,417,1179
Baker's,4407,212,192,0.9056603773584906,1047,1250
Contusion,4407,45,33,0.7333333333333333,1102,797
Fracture,4407,65,62,0.9538461538461539,669,1385
