label,expert_pos,pred_pos,acc,f1,prec,rec,n_ge_0.5,acc_ge_0.5,f1_ge_0.5
ACL,24,16,0.7931034482758621,0.7,0.875,0.5833333333333334,19,0.7894736842105263,0.875
MCL,9,8,0.8793103448275862,0.5882352941176471,0.625,0.5555555555555556,8,0.625,0.7692307692307693
Medial Meniscus,26,16,0.6551724137931034,0.5238095238095238,0.6875,0.4230769230769231,18,0.7222222222222222,0.8148148148148148
Lateral Meniscus,23,10,0.7413793103448276,0.5454545454545454,0.9,0.391304347826087,15,0.8666666666666667,0.9
Medial OA,15,2,0.7758620689655172,0.23529411764705882,1.0,0.13333333333333333,2,1.0,1.0
Lateral OA,11,1,0.8275862068965517,0.16666666666666666,1.0,0.09090909090909091,1,1.0,1.0
PF OA,21,4,0.603448275862069,0.08,0.25,0.047619047619047616,4,0.25,0.4
Effusion,35,32,0.5689655172413793,0.6268656716417911,0.65625,0.6,38,0.6842105263157895,0.7692307692307693
Synovitis,27,12,0.603448275862069,0.41025641025641024,0.6666666666666666,0.2962962962962963,13,0.6153846153846154,0.7619047619047619
Baker's,12,6,0.8275862068965517,0.4444444444444444,0.6666666666666666,0.3333333333333333,12,0.8333333333333334,0.8
Contusion,19,15,0.6896551724137931,0.47058823529411764,0.5333333333333333,0.42105263157894735,22,0.5909090909090909,0.64
Fracture,18,5,0.7413793103448276,0.34782608695652173,0.8,0.2222222222222222,15,0.7333333333333333,0.6666666666666666
